X,Y,count,company_or,addressori,city_1,county,zip,ptinum,approved,rop,srn,naicscode,naicstitle,notes,addressgeo,year,srnunique,ROPNAME
-84.18487726910,41.73944626550,1,"BRIGHTMARK SUNRYZ RNG, LLC",8460 W MULBERRY ROAD,MORENCI,LENAWEE,49256,188-20,07may2021,0,P1158,0,,,8460 W MULBERRY ROAD,2021,P1158,
-83.70877574000,41.79715044070,1,ADM GRAIN COMPANY,6801 US-223 EAST,OTTAWA LAKE,MONROE,49267,223-74A,24aug2021,0,B4311,424510,Grain and Field Bean Merchant Wholesalers,,6801 US-223 EAST,2021,B4311,
-84.03354100140,41.88502424950,1,"PPG INDUSTRIES, INC",961 DIVISION STREET,ADRIAN,LENAWEE,49221,196-04H,12oct2021,0,B8801,325520,Adhesive Manufacturing,,961 DIVISION STREET,2021,B8801,
-83.34645703590,41.89080801410,1,DTE ELECTRIC COMPANY,3500 E FRONT STREET - MONROE POWER PLANT,MONROE,MONROE,48161,72-21,11oct2021,1,B2816,221112,Fossil Fuel Electric Power Generation,,3500 E FRONT STREET,2021,B2816,DTE Electric Company - Monroe Power Plant
-83.43428289100,41.89249353860,1,"CADILLAC ASPHALT, LLC",15203 S TELEGRAPH ROAD,MONROE,MONROE,48161,108-96B,11mar2021,0,N5778,324121,Asphalt Paving Mixture and Block Manufacturing,,15203 S TELEGRAPH ROAD,2021,N5778,
-83.36048901240,41.89368200110,1,"TMS INTERNATIONAL, LLC",3000 E FRONT STREET,MONROE,MONROE,48161,77-21,13oct2021,1,B7061,331110,Iron and Steel Mills and Ferroalloy Manufacturing,,3000 E FRONT STREET,2021,B7061,Gerdau MacSteel Monroe
-86.53412817350,41.89933048180,1,ANR PIPELINE COMPANY,3372 BROWNTOWN ROAD,BRIDGMAN,BERRIEN,49106,92-20,23feb2021,1,N5575,486210,Pipeline Transportation of Natural Gas,,3372 BROWNTOWN ROAD,2021,N5575,ANR Pipeline Company - Bridgman Compressor Station
-84.01316310980,41.91226403040,1,CORNERSTONE CRUSHING,1001 OAKWOOD ROAD,ADRIAN,LENAWEE,49221,12-21,27apr2021,0,P1187,0,,General PTI,1001 OAKWOOD ROAD,2021,P1187,
-83.36661274700,41.91730132420,1,"PIONEER METAL FINISHING, INC",525 TERNES DRIVE,MONROE,MONROE,48162,543-96B,10jun2021,0,N6169,0,,,525 TERNES DRIVE,2021,N6169,
-85.02340353330,41.92320008850,1,"REAL ALLOY RECYCLING, LLC",267 N FILLMORE ROAD - SOUTH PLANT,COLDWATER,BRANCH,49036,63-19B,07oct2021,1,N5957,331314,Secondary Smelting and Alloying of Aluminum,,267 N FILLMORE ROAD,2021,N5957,"Real Alloy Recycling, Inc."
